,accuracy,precision,recall,f1,mcc,auc
Logistic Regression,0.5416666666666666,0.5263157894736842,0.5172413793103449,0.5217391304347826,0.08181440688685697,0.5111234705228032
Decision Tree,0.4166666666666667,0.38,0.3275862068965517,0.35185185185185186,-0.1747623298116109,0.4137931034482758
kNN,0.5666666666666667,0.5625,0.46551724137931033,0.5094339622641509,0.1293505066787513,0.5859288097886541
Naive Bayes,0.5416666666666666,0.5211267605633803,0.6379310344827587,0.5736434108527132,0.09103718406499009,0.5158509454949944
Random Forest,0.5666666666666667,0.5681818181818182,0.43103448275862066,0.49019607843137253,0.1291918264400058,0.6058120133481646
XGBoost,0.575,0.5636363636363636,0.5344827586206896,0.5486725663716814,0.14781823249900072,0.5798109010011123
